Item;Type;Group;Number;DomainIntro;domainImage1;domainImage2;domainImage3;domainImage4;domainImage5;Premises;judgmentImage1;judgmentImage2;judgmentImage3;TargetResponse;set_A;set_B;A1_color;A2_color;A3_color;B1_color;B2_color
critical-2-C2;AorB_B1.A3B1B2;1;1 of 2;GnomeGBY_ServerBR.wav;GnomeGreen.png;GnomeBlue.png;GnomeYellow.png;ServerBlue.png;ServerRed.png;GnomeOrServer_AlsoServerBlue.wav;GnomeYellow.png;ServerBlue.png;ServerRed.png;happy;Gnome;Server;Green;Blue;Yellow;Blue;Red
critical-2-C2;AorB_B2.A1B1B2;1;2 of 2;PlumberRBG_AcrobatRB.wav;PlumberRed.png;PlumberBlue.png;PlumberGreen.png;AcrobatRed.png;AcrobatBlue.png;PlumberOrAcrobat_AlsoAcrobatBlue.wav;PlumberRed.png;AcrobatRed.png;AcrobatBlue.png;happy;Plumber;Acrobat;Red;Blue;Green;Red;Blue
critical-2-C2;AorB_B2.A2B1B2;2;1 of 2;LawyerRBY_PirateYR.wav;LawyerRed.png;LawyerBlue.png;LawyerYellow.png;PirateYellow.png;PirateRed.png;LawyerOrPirate_AlsoPirateRed.wav;LawyerBlue.png;PirateYellow.png;PirateRed.png;happy;Lawyer;Pirate;Red;Blue;Yellow;Yellow;Red
critical-2-C2;AorB_B1.A1B1B2;2;2 of 2;SingerBGY_RomanBG.wav;SingerBlue.png;SingerGreen.png;SingerYellow.png;RomanBlue.png;RomanGreen.png;SingerOrRoman_AlsoRomanBlue.wav;SingerBlue.png;RomanBlue.png;RomanGreen.png;happy;Singer;Roman;Blue;Green;Yellow;Blue;Green
critical-2-C2;AorB_B2.A3B1B2;3;1 of 2;KnightYGR_GardenerYG.wav;KnightYellow.png;KnightGreen.png;KnightRed.png;GardenerYellow.png;GardenerGreen.png;KnightOrGardener_AlsoGardenerGreen.wav;KnightRed.png;GardenerYellow.png;GardenerGreen.png;happy;Knight;Gardener;Yellow;Green;Red;Yellow;Green
critical-2-C2;AorB_B1.A2B1B2;3;2 of 2;MusicianGBY_PilotGB.wav;MusicianGreen.png;MusicianBlue.png;MusicianYellow.png;PilotGreen.png;PilotBlue.png;MusicianOrPilot_AlsoPilotGreen.wav;MusicianBlue.png;PilotGreen.png;PilotBlue.png;happy;Musician;Pilot;Green;Blue;Yellow;Green;Blue
critical-2-C2;AorB_B1.A2B1B2;4;1 of 2;SingerYRG_HairdresserRB.wav;SingerYellow.png;SingerRed.png;SingerGreen.png;HairdresserRed.png;HairdresserBlue.png;SingerOrHairdresser_AlsoHairdresserRed.wav;SingerRed.png;HairdresserRed.png;HairdresserBlue.png;happy;Singer;Hairdresser;Yellow;Red;Green;Red;Blue
critical-2-C2;AorB_B1.A3B1B2;4;2 of 2;PolicemanYGB_ScientistGY.wav;PolicemanYellow.png;PolicemanGreen.png;PolicemanBlue.png;ScientistGreen.png;ScientistYellow.png;PolicemanOrScientist_AlsoScientistGreen.wav;PolicemanBlue.png;ScientistGreen.png;ScientistYellow.png;happy;Policeman;Scientist;Yellow;Green;Blue;Green;Yellow
critical-2-C2;AorB_B2.A1B1B2;5;1 of 2;PolicemanRYG_ClownBR.wav;PolicemanRed.png;PolicemanYellow.png;PolicemanGreen.png;ClownBlue.png;ClownRed.png;PolicemanOrClown_AlsoClownRed.wav;PolicemanRed.png;ClownBlue.png;ClownRed.png;happy;Policeman;Clown;Red;Yellow;Green;Blue;Red
critical-2-C2;AorB_B2.A2B1B2;5;2 of 2;SoccerRBY_KingGR.wav;SoccerRed.png;SoccerBlue.png;SoccerYellow.png;KingGreen.png;KingRed.png;SoccerOrKing_AlsoKingRed.wav;SoccerBlue.png;KingGreen.png;KingRed.png;happy;Soccer;King;Red;Blue;Yellow;Green;Red
critical-2-C2;AorB_B1.A1B1B2;6;1 of 2;PlumberYGR_AngelRB.wav;PlumberYellow.png;PlumberGreen.png;PlumberRed.png;AngelRed.png;AngelBlue.png;PlumberOrAngel_AlsoAngelRed.wav;PlumberYellow.png;AngelRed.png;AngelBlue.png;happy;Plumber;Angel;Yellow;Green;Red;Red;Blue
critical-2-C2;AorB_B2.A3B1B2;6;2 of 2;ExplorerGRB_SnowmanGR.wav;ExplorerGreen.png;ExplorerRed.png;ExplorerBlue.png;SnowmanGreen.png;SnowmanRed.png;ExplorerOrSnowman_AlsoSnowmanRed.wav;ExplorerBlue.png;SnowmanGreen.png;SnowmanRed.png;happy;Explorer;Snowman;Green;Red;Blue;Green;Red
